transID,payCardSex,payCardBirthDate,corridorID,corridorName,direction,tapInStops,tapInStopsName,tapInStopsLat,tapInStopsLon,stopStartSeq,tapInTime,tapOutStops,tapOutStopsName,tapOutStopsLat,tapOutStopsLon,stopEndSeq,tapOutTime,payAmount,transportationType,age,ageGroup,tapInHour,tripDuration,dayName,date,tapOutStatus,name
HEMW326B9N91TV,M,1974,JAK.18,Kalibata - Kuningan,0.0,B00243P,Cervino Village,-6.224355,106.85165,25,2023-04-03 06:58:21,Unknown,Unknown,,,,,0.0,Mikrotrans,49,Dewasa Akhir,6,,Monday,2023-04-03,Error,TEBET
XTKE052E5E87LN,F,1991,JAK.03,Lebak Bulus - Andara,1.0,B03416P,SDN Pondok Labu 11,-6.313269,106.80221,2,2023-04-03 06:44:24,B00899P,Jln. Baros,-6.311046,106.784,12.0,2023-04-03 07:11:43,0.0,Mikrotrans,32,Dewasa Awal,6,27.316666666666666,Monday,2023-04-03,Success,CILANDAK
LZFD368Q3E81HJ,M,1975,JAK.46,Pasar Minggu - Jagakarsa,1.0,B00608P,Gelanggang Remaja Pasar Minggu,-6.284615,106.83787,5,2023-04-03 05:38:44,B01062P,Jln. Gabus Raya,-6.301222,106.83623,17.0,2023-04-03 06:09:17,0.0,Mikrotrans,48,Dewasa Akhir,5,30.55,Monday,2023-04-03,Success,PASAR MINGGU
ZYRL615G4C05RD,M,1981,JAK.88,Terminal Tanjung Priok - Ancol Barat,0.0,B00722P,Gunung Sahari Mangga Dua Timur,-6.137032,106.83254,20,2023-04-03 06:43:49,B05989P,Jln. Ancol Barat 6,-6.12481,106.81983,36.0,2023-04-03 07:30:45,0.0,Mikrotrans,42,Dewasa Madya,6,46.93333333333333,Monday,2023-04-03,Success,PADEMANGAN
ZJVI960B9I42DA,F,1997,JAK.16,Cililitan - Condet,0.0,B02144P,Lippo Mall Kramat Jati,-6.270835,106.86741,4,2023-04-03 05:08:36,B01393P,Jln. Mesjid Al Mabruk,-6.28435,106.85293,20.0,2023-04-03 05:30:45,0.0,Mikrotrans,26,Dewasa Awal,5,22.15,Monday,2023-04-03,Success,KRAMAT JATI
SYLN486U0E02TA,F,1981,JAK.02,Kampung Melayu - Duren Sawit,0.0,B05023P,Simpang Pahlawan Revolusi 1,-6.238658,106.899461,28,2023-04-03 05:43:14,B03135P,RS Duren Sawit 2,-6.232262,106.91019,39.0,2023-04-03 06:12:52,0.0,Mikrotrans,42,Dewasa Madya,5,29.633333333333333,Monday,2023-04-03,Success,DUREN SAWIT
TCKQ601Q5O01BC,M,1995,JAK.46,Pasar Minggu - Jagakarsa,1.0,B00001P,18 Office Park,-6.299146,106.8321,19,2023-04-03 06:14:02,Unknown,Unknown,,,,,0.0,Mikrotrans,28,Dewasa Awal,6,,Monday,2023-04-03,Error,PASAR MINGGU
UANX737M9L25GI,F,1983,JAK.15,Bulak Turi - Tanjung Priok,0.0,B02761P,Pertamina Kilang Minyak,-6.108789,106.90537,41,2023-04-03 05:12:53,B01056P,Jln. Elpa Putih II,-6.110053,106.88721,50.0,2023-04-03 05:50:10,0.0,Mikrotrans,40,Dewasa Madya,5,37.28333333333333,Monday,2023-04-03,Success,PADEMANGAN
BRUT293K1O98GA,F,2010,JAK.112,Terminal Tanah Merah - Pulo Gadung,0.0,B01067P,Jln. Gading Mas Barat IV,-6.167384,106.91019,14,2023-04-03 06:59:14,B04854P,Simpang Jln. Bongo Raya,-6.170743,106.91001,17.0,2023-04-03 07:32:35,0.0,Mikrotrans,13,Remaja,6,33.35,Monday,2023-04-03,Success,KELAPA GADING
UNFK619O2R74DX,M,1965,JAK.43B,Tongtek - Tebet Eco Park (TEP) - Cililitan,0.0,B03675P,Sbr. Jln. Cikoko Timur I,-6.244364,106.85867,19,2023-04-03 05:04:52,B05440P,St. Duren Kalibata 4,-6.255071,106.85506,23.0,2023-04-03 05:47:58,0.0,Mikrotrans,58,Pra-lansia,5,43.1,Monday,2023-04-03,Success,PANCORAN
